ts,evento,detalle
2026-09-13T02:02:31.549000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 2df5d0a693764a13b373510566b22ff5) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:02:41.148767+00:00,target_draining,instancia=2df5d0a693764a13b373510566b22ff5;ip=10.0.1.177;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:02:40.620000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:02:40.568000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:02:40.563000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:02:53.705176+00:00,target_retirado,instancia=2b8b3ded392844b7b2a6837ef9b7fd1a;ip=10.0.0.161
2026-09-13T02:03:11.490051+00:00,target_retirado,instancia=2df5d0a693764a13b373510566b22ff5;ip=10.0.1.177
2026-09-13T02:04:17.068000+00:00,tarea_nueva,instancia=3d78f555903e4ba6864a3078eee1e4ad
2026-09-13T02:04:36.956550+00:00,target_estado_inicial,instancia=3d78f555903e4ba6864a3078eee1e4ad;ip=10.0.1.178;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:04:38.072103+00:00,target_healthy,instancia=3d78f555903e4ba6864a3078eee1e4ad;ip=10.0.1.178;estado=healthy;razon=
2026-09-13T02:04:35.877000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:04:45.812000+00:00,tarea_detenida,instancia=ce2fce7c528f4098b65c396d24843403
2026-09-13T02:04:45.778000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task ce2fce7c528f4098b65c396d24843403) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:04:45.751000+00:00,tarea_nueva,instancia=e54e5207ab974d9f894ca3f6104a5ab6
2026-09-13T02:04:52.683745+00:00,target_unhealthy,instancia=3d78f555903e4ba6864a3078eee1e4ad;ip=10.0.1.178;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:04:54.903312+00:00,target_draining,instancia=ce2fce7c528f4098b65c396d24843403;ip=10.0.1.6;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:04:54.418000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:04:54.360000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:04:54.355000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:05:05.315049+00:00,target_estado_inicial,instancia=e54e5207ab974d9f894ca3f6104a5ab6;ip=10.0.0.214;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:05:06.434055+00:00,target_healthy,instancia=e54e5207ab974d9f894ca3f6104a5ab6;ip=10.0.0.214;estado=healthy;razon=
2026-09-13T02:05:04.010000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:05:12.865000+00:00,tarea_detenida,instancia=f435d6b659be416a819cbaebafaeb307
2026-09-13T02:05:12.833000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task f435d6b659be416a819cbaebafaeb307) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:05:19.503989+00:00,target_unhealthy,instancia=e54e5207ab974d9f894ca3f6104a5ab6;ip=10.0.0.214;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:05:22.893000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:05:22.834000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:05:22.828000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:05:24.693917+00:00,target_draining,instancia=f435d6b659be416a819cbaebafaeb307;ip=10.0.0.56;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:05:24.694290+00:00,target_retirado,instancia=ce2fce7c528f4098b65c396d24843403;ip=10.0.1.6
2026-09-13T02:05:53.397184+00:00,target_retirado,instancia=f435d6b659be416a819cbaebafaeb307;ip=10.0.0.56
2026-09-13T02:06:30.708000+00:00,tarea_nueva,instancia=945d7c1506b8428d8c2db9e209431cba
2026-09-13T02:06:59.600091+00:00,target_estado_inicial,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:07:00.708493+00:00,target_healthy,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65;estado=healthy;razon=
2026-09-13T02:06:58.575000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:07:07.795000+00:00,tarea_detenida,instancia=3d78f555903e4ba6864a3078eee1e4ad
2026-09-13T02:07:07.760000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task 3d78f555903e4ba6864a3078eee1e4ad) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:07:17.496535+00:00,target_draining,instancia=3d78f555903e4ba6864a3078eee1e4ad;ip=10.0.1.178;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:07:18.603435+00:00,target_unhealthy,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65;estado=unhealthy;razon=Target.Timeout
2026-09-13T02:07:17.132000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:07:17.071000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
