segundo,total,ok,fallidas
518,159,0,159
519,175,0,175
520,232,0,232
521,198,0,198
522,136,0,136
523,158,0,158
524,176,0,176
525,231,0,231
526,198,0,198
527,136,0,136
528,159,0,159
529,176,0,176
530,231,0,231
531,198,0,198
532,136,0,136
533,159,0,159
534,176,0,176
535,230,0,230
536,198,0,198
537,137,0,137
538,158,0,158
539,176,0,176
540,231,0,231
541,198,0,198
542,136,0,136
543,159,0,159
544,171,0,171
545,215,0,215
546,189,0,189
547,149,0,149
548,109,0,109
549,69,0,69
550,50,0,50
551,50,0,50
552,50,0,50
553,50,0,50
554,50,0,50
555,50,0,50
556,50,0,50
557,50,0,50
558,50,0,50
559,50,0,50
560,50,0,50
561,50,0,50
562,50,0,50
563,50,0,50
564,50,0,50
565,50,0,50
566,50,0,50
567,50,0,50
568,50,0,50
569,50,0,50
570,50,0,50
571,50,0,50
572,50,0,50
573,50,0,50
574,50,0,50
575,50,0,50
576,50,0,50
577,50,0,50
578,50,0,50
579,50,0,50
580,50,0,50
581,50,0,50
582,50,0,50
583,50,0,50
584,50,0,50
585,50,10,40
586,50,23,27
587,50,8,42
588,50,0,50
589,50,0,50
590,50,0,50
591,50,0,50
592,50,0,50
593,50,0,50
594,50,0,50
595,50,0,50
596,50,0,50
597,50,0,50
598,50,0,50
599,49,0,49
