ts,evento,detalle
2026-09-13T01:12:00.207187+00:00,target_estado_inicial,instancia=e8a2d5a475a84d52873a501c77edab17;ip=10.0.0.27;estado=healthy;razon=
2026-09-13T01:12:00.207620+00:00,target_estado_inicial,instancia=a70980ed7d7945488c70f1ba568127b8;ip=10.0.0.26;estado=healthy;razon=
2026-09-13T01:12:02.328582+00:00,k6_inicio,config=M1-P1;rps=50;duracion=600;tipo_falla=hang
2026-09-13T01:14:02.671068+00:00,falla_computo,tipo=hang;instancia=a70980ed7d7945488c70f1ba568127b8;ip=10.0.0.26
2026-09-13T01:14:13.946563+00:00,target_unhealthy,instancia=a70980ed7d7945488c70f1ba568127b8;ip=10.0.0.26;estado=unhealthy;razon=Target.Timeout
2026-09-13T01:14:23.124000+00:00,tarea_nueva,instancia=1a8020cbfee04861b6cf02894753bace
2026-09-13T01:14:53.485095+00:00,target_estado_inicial,instancia=1a8020cbfee04861b6cf02894753bace;ip=10.0.1.180;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T01:14:54.601895+00:00,target_healthy,instancia=1a8020cbfee04861b6cf02894753bace;ip=10.0.1.180;estado=healthy;razon=
2026-09-13T01:14:52.516000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T01:15:01.606000+00:00,tarea_detenida,instancia=a70980ed7d7945488c70f1ba568127b8
2026-09-13T01:15:01.568000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task a70980ed7d7945488c70f1ba568127b8) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T01:15:11.779012+00:00,target_draining,instancia=a70980ed7d7945488c70f1ba568127b8;ip=10.0.0.26;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T01:15:11.248000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T01:15:11.184000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/2167165345548783105) has begun draining connections on 1 tasks."
2026-09-13T01:15:11.179000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T01:15:21.360000+00:00,servicio_estable,mensaje=(service expd03-originacion) has reached a steady state.
2026-09-13T01:15:42.069596+00:00,target_retirado,instancia=a70980ed7d7945488c70f1ba568127b8;ip=10.0.0.26
2026-09-13T01:18:03.127650+00:00,falla_base,metodo=reboot_force_failover
2026-09-13T01:18:17.094000+00:00,base_failover_inicio,mensaje=Multi-AZ instance failover started. 
2026-09-13T01:18:33.991000+00:00,base_reiniciada,mensaje=DB instance restarted
2026-09-13T01:18:56.784000+00:00,rds_evento,mensaje=The user requested a failover of the DB instance.
2026-09-13T01:18:56.784000+00:00,base_failover_fin,mensaje=Multi-AZ instance failover completed
2026-09-13T01:22:03.278767+00:00,k6_fin,codigo_salida=0
